equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,5198,04/10/2023,"5. Prod Ongoing, Maint Required",Operator pointed out the clamp that holds the glue hose for the machine broke .,Closed and Completed,40,0.5,Max & Primo,0,04/10/2023 12:00 AM,Primo Uy - 04/10/23 10:40:48 AM: Replace C- Clamp as a hose holder and clean all tubes/remove dried glues. Securely re-mount to the trays. | Miguel Diaz - 04/10/23  8:57:32 AM: Hose is just laying on the tray  need to buy new clamps and replace them all .Going to home depot to buy the clamps that are needed to fix this .,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,5200,04/10/2023,2. General Maint - High Priority,The operator pointed that a clamp is brocken.,Closed and Completed,0,1,"Miguel ,Primo, Max.",0,04/10/2023 11:30 AM,Maksim Bushka - 04/10/23 11:25:36 AM: Replaced 2 clamps and o rings on the low side,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,5618,05/10/2023,"5. Prod Ongoing, Maint Required",Operator pointed out yesterday that the glue spreader is leaking glue from the side of the rollers .,Closed and Completed,0,1,Mike Diaz,0,05/10/2023 12:00 AM,Miguel Diaz - 05/10/23  9:01:21 AM: Gluer spreader has side plates that the keep the glue from leaking out found two of them un even not a lot but enough to let some glue go by .Replaced all four plates and reworked the plates i just removed they are ready for the next replacement .,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,6275,06/30/2023,2. General Maint - High Priority,The glue on the glue rolling seems to be leaking even tho we have all the valves off .,Closed and Completed,0,0.5,PU& Max,0,06/30/2023 12:00 AM,Primo Uy - 06/30/23 10:12:39 AM: The Bottom Shut Off Valve is broken. Replaced a new Shut off Valve. No more Leak.,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,6336,07/05/2023,2. General Maint - High Priority,Operator advised  the rollers for the water tray are not free rolling any more .s,Closed and Completed,340,2,Max,0,07/06/2023 11:30 AM,Maksim Bushka - 07/06/23 12:56:27 PM: Replaced 4 rollers. | Miguel Diaz - 07/06/23 11:32:12 AM: Maintenance ordered replacement wheels part# 2454T54 from Mc Master Carr  they arrived today Max is replacing them now .,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,6885,08/17/2023,2. General Maint - High Priority,The 3/4 ball valve in the hot water line is leaking.,Closed and Completed,70,1,Miguel & Max,0,08/17/2023 11:30 AM,Maksim Bushka - 08/17/23 11:32:24 AM: Replaced the ball valve and replaced the water hose nozzle spryer.,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,7856,10/31/2023,"5. Prod Ongoing, Maint Required",Operator advised he is noticing excessive glue is leaking from the bottom rollers,Closed and Completed,0,0.5,MIKE D,0,10/31/2023 12:00 AM,Miguel Diaz - 10/31/23 10:09:08 AM: Troubleshoot checked the side plates and verified that they are against the side of the rollers but they have  accumulated glue that accumulates daily from the glue is that is used to prevent this the operators must add grease to the side of the rollers first thing in the morning this fills  in the gap per the tech who demonstrated the machine to us on site I asked the operator if they are putting grease they advised not daily so as a fresh start I removed the accumulated glue from the side of the rollers from the bottom added grease  to them placed the plates against the end of the rollers and asked the operators to keep up with the daily pre set up .This is a must .Please note shop was cleaning up no downtime,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,8093,11/21/2023,"5. Prod Ongoing, Maint Required",Glue spreader roller on the bottom right hand side was letting glue drip down the pan looked like it was part of the glue tray that was damaged .,Closed and Completed,0,0.3,Mike d,0,11/21/2023 12:00 AM,Miguel Diaz - 11/21/23  8:42:00 AM: This morning after further investigation i found that the corner was not part of the glue tray and was instead dry glue that looked like part of the glue tray .Open attached picture .Removed dry glue and the leak has stopped also advised operators to pay attention to the corners .,"[{""name"": ""glue tray 11-21-23.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/466?guid=c44a0fe3-411f-4bc6-913b-cf44e7df4e1a""}]"
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,9432,12/21/2023,1. Prod Stopped,Operators were  replacing the glue tote and reported the glue nozzle that connects to the glue tote broke .,Closed and Completed,100,1.5,Max Mike,1.5,12/21/2023 12:00 AM,Miguel Diaz - 12/21/23  7:43:10 AM: When removing and placing back the nozzle you must be careful since its plastic parts and can break .Found threaded pipe broken we had a  spare we had to put it together and wait  for the hot Pvc glue to dry .Max was able to repair the old one to keep as a spare .I will be buying more spares .,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,10560,02/28/2024,2. General Maint - High Priority,Water tray for the glue spreader rollers has a hole and is leaking water on the floor,Closed and Completed,40,0.4,Mike d,0,01/11/2024 12:00 AM,"Miguel Diaz - 02/29/24  7:36:36 AM: Water was added to the tray no leaks | Miguel Diaz - 02/28/24 12:32:18 PM: Purchased JB weld for underwater leaks and other tapes if needed .
Placed the JB weld on the hole top and bottom it takes 1 hour for cure time we will fill it up at 2 pm .
Open attachment to view hole .Will advised if it worked .","[{""name"": ""wtl1.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/544?guid=d3790d0b-afc3-4dcb-865b-e4863b71985e""}, {""name"": ""wtl2.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/545?guid=d3790d0b-afc3-4dcb-865b-e4863b71985e""}]"
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,10037,01/19/2024,1. Prod Stopped,"The latch on the glue roller fence was lose/missing a screw causing the sensor to not activate the rollers. Mike came and fixed it, we were down from 5:40 - 6:15 we were down.",Closed and Completed,0,0.4,Mike d,0,01/19/2024 12:00 AM,"Miguel Diaz - 01/19/24  8:13:02 AM: Found loose hardware i was advised this has been like this ?Either way I found the hardware close by tighten all hardware open side panel to tighten nuts from the inside of the machine  .Hardware got loose because of the safety doors opening and  closing some operators are not as gentle as others .
I will add this to the machines pm to look for loose hardware on the safety interlocks switches X2  .",[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,10301,02/12/2024,2. General Maint - High Priority,Glue spreader needed to be cleaned before running production this morning it has glue all over the glue trays in front and the sides that can potentially prematurely wear out the rollers sooner .,Closed and Completed,100,1,HPL team /Mike,1,02/12/2024 12:00 AM,Miguel Diaz - 02/12/24  7:10:49 AM: HPL team glue the glue spreader glue trays and glue catch tray .Glue tray springs were also replaced old ones had no sparing to them anymore .,[]
1724,EQ ID 1724,O-Sama (Joos) Glue Spreader,Toilet Partitions,11310,04/15/2024,2. General Maint - High Priority,The air table on the glue machine sometimes wont work.,Closed and Completed,0,0.3,Max,0,04/15/2024 07:00 PM,Maksim Bushka - 04/15/24  7:05:47 PM: Added black tape on the air pressure switch.,[]
