equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
1375,EQ ID 1375,"Boundary Board, Corner Weld, QA",Quality Assurance,865,"1) Review samples
2) Review labels and stickers

Replace anything damaged or missing. Replacements must be requested from BMC",Closed and Completed,3/18/2023,Carmen Y,0.20,0.00,0.00,7/11/2023,,[]
807,EQ ID 807,"Drill Fixture, 1047206, Inswing Stile Hinge-C. Hung Plam",Quality Assurance,11201,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect general physical condition
4)Change inspection label",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
807,EQ ID 807,"Drill Fixture, 1047206, Inswing Stile Hinge-C. Hung Plam",Quality Assurance,534,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect general physical condition
4)Change inspection label",Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:37:55 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
808,EQ ID 808,"Drill Fixture, 1542003, 1542 Drill Jig T-1542004",Quality Assurance,11251,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect physical condition
4)Change inspection label",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
808,EQ ID 808,"Drill Fixture, 1542003, 1542 Drill Jig T-1542004",Quality Assurance,535,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect physical condition
4)Change inspection label",Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:44:46 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
821,EQ ID 821,"Drill Fixture, T1002246, Tube Wall Post 1080 Series",Quality Assurance,11253,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect general physical condition
4)Measure dimensions on audit sheet
5)Change inspection label",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
821,EQ ID 821,"Drill Fixture, T1002246, Tube Wall Post 1080 Series",Quality Assurance,540,"1)Inspect bushings, screws and locating dowel pins
2)Inspect straightness
3)Inspect general physical condition
4)Measure dimensions on audit sheet
5)Change inspection label",Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:45:00 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
826,EQ ID 826,"8"" Digital Caliper, 0189152, M.E. Primo Uy",Quality Assurance,11202,"1) Cleaning
2) Visual
3) Functional",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
826,EQ ID 826,"8"" Digital Caliper, 0189152, M.E. Primo Uy",Quality Assurance,541,"1) Cleaning
2) Visual
3) Functional",Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:38:01 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
827,EQ ID 827,"8"" Digimatic Caliper, 03320488, QA",Quality Assurance,11203,"Cleaning, visual, functional",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
